REF_MS;Page_PDF;TITRE_PIECE;TITRE_BRENNER;LANGUE;JOUR;NUM;MOIS;ANNEE;AUTEUR_PIECE;REPR_1;DEPENSES_DIVERSES;Traduction;mot_cles;COUT_DEPENSES_DIVERSES;Dépenses_ordinaires;Instruments;Animaux;Coiffeuse;Picard;Buron;Monsieur_Sticotti;Coffre-fort;Nicolo_et/ou_Villars;Spese_extra;Sconba;Putella;Lista;Chaises;Porteur;Carrosse;Habiller;Menuisier–_De_Lande;Afficheur;Gardes;Souffleur;Lustres;Perruquier;Hommes_ou_enfants_en_plus;Bougies;Arguments;Mances;Danseurs;Pour_le_feu;TOTAL_DEPENSES;DEBIT_DERNIERE_REPR;Column;Recettes_balcon_de_premières_loges;Balcon_deuxièmes_loges;Recettes_balcon_deuxièmes_loges;Billets_premières_loges;Recettes_premières_loges;Billets__secondes_loges;Recettes_deuxièmes_loges;Billets_troisièmes_loges;Recettes_troisièmes_loges;Billets_parterre;Recettes_Parterre;Premières_loges;Recette_Prima_loggia;Seconda_loggia;Recette_Seconda_loggia;Personnalités;Montant_personnalités;Supplément;Montant_Supplément;Paradis;Recettes_Paradis;NB_TOTAL_BILLETS_VENDUS;RECETTES_BILLETS_VENDUS;QUART_PAUVRE;TOTAL_DEPENSES2;DEBIT_INITIAL;RESTE;CREDIT;CREDIT_FINAL_(avanza);R_DEBIT_TOT;R_CREDIT_TOT;Part_des_auteurs;Aparte_in_6_;Aparte_in_9;Aparte_in_12;Aparte_in_12_e_1/4;Aparte_in_12_e_½;Aparte_in_13;Aparte_in_13_¾;Aparte_in_14;Aparte_in_14_¾;Aparte_in_15;Anecdotes;REDACTEURS
TH_OC_10_78;16;Italiano_Francesato;Italien_francisé;IT;Mercordi;14;Lug°;1717;Riccoboni;30/06/17;Per_due_giridor_comprat;;;6;120;;;;;;;;;;;;1,11;;;;;;;;;;;;;;1;;;129,11;;;;;;46;184;42;84;1;1,1;120;120;;;1;16;;;;;;;209;405,1;101,70,6;129,11;230,18;174,11;405,1;54,11;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;16;Italiano_Francesato;;;;;;;;;Per_un_paro_de_ganti_per_Giovanino;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;16;Nozze_in_Sogno;Docteur_médecin_amoureux;IT;Giornedi;15;Lug°;1717;Inconnu;08/07/17;Nollo_del_letto_;;;8;120;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;128,05;;;;;;15;60;20;40;91;91;;;;;;;;;oui;8;;;126;199;79,15;128,5;178;21;199;21;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;17;Figlie_Amorose_del_Diavolo;Filles_amoureuses_du_diable;IT;Sabatto;17;Lug°;1717;Inconnu;13/06/17;Portadure_de_strumenti_da_Mri_di_Robie;;;1;120;;;;;;;;;33;;;1,05;;3,05;22;;;;;;;;1;6,02;;;;;188;;;;;;75;300;42;84;5;7,1;258;258;;;;;;;oui;16;;;380;665,1;166,70,6;188;354,70,6;311,02;665,1;75,02;;;;;;20;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;17;Demoni_son_le_Donne;Diables_sont_les_femmes;IT;Domenica;18;Lug°;1717;;23/06/17;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;36;144;37;74;6;9;129;129;1;32;;;;;oui;12;;;208;400;100;120;220;180;400;64;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;18;Giardiniere;Jardinier;IT;Lunedi;19;Lug°;1717;;19/07/17;Clavocinbano;;;5;120;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;129,1;;;;;;29;116;25;50;;;80;80;;;;;;;;;;;134;246;61,1;129,1;190,11;246;55,09;55,09;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;18;Giardiniere;;;;;;;;;Portadura_del_letto_4_volte;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;18;Impostor_malgré_lui;Imposteur_malgré_lui;IT;Mercordi;21;Lug°;1717;Riccoboni;04/07/17;Per_li_bilgt_stampati_della_merope;;;5;120;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;131;;;;;;46;184;36;72;2;3;189;189;;;;;;;;;;;273;448;112;131;243;205;448;85;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;19;Il_Servo_Astudo;Heureuse_trahison;IT;Giornedi;22;Lug°;1717;Riccoboni;27/01/17;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;121;;;;;;22;88;15;30;4;6;48;48;;;;;;;;;;;89;172;43;121;167;8;172;8;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;19;Italiano_Francesato;Italien_francisé;IT;Sabatto;24;Lug°;1717;Riccoboni;30/06/17;Nollo_della_tualetta;;;6;120;;Un_calamaro_che_si_rompe_al_palazo;;;;;;;33;;;2,02;;3,05;22;;;;;;;;;4,18;;0,1;;;204,05;;;;;;57;228;41;82;6;9;244;244;1;32;;;;;oui;11,1;;;346;606,1;151,12,6;204,5;355,17,6;251,12;606,1;71,12;;;;;;15;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;19;Italiano_Francesato;;;;;;;;;Due_mochette_daciallo;;;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;19;Italiano_Francesato;;;;;;;;;Giovanino;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;19;Italiano_Francesato;;;;;;;;;Un_calamaro_che_si_rompe_al_palazo;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
